Module,Renderer,ApiVersion,Width,Height,Fullscreen,AntiAliasing,AvgFPS,Duration,MaxGpuTemp,Score
FurMark,Quadro FX GRID K2/PCIe/SSE2,4.5.0 NVIDIA 352.79,1024,640,NO,Off,31,60000,0,1905
GiMark,Quadro FX GRID K2/PCIe/SSE2,4.5.0 NVIDIA 352.79,1024,640,NO,Off,27,60000,0,1661
PixMark Piano,Quadro FX GRID K2/PCIe/SSE2,4.5.0 NVIDIA 352.79,1024,640,NO,Off,23,60000,0,1400
PixMark Volplosion,Quadro FX GRID K2/PCIe/SSE2,4.5.0 NVIDIA 352.79,1024,640,NO,Off,35,60000,0,2143
TessMark,Quadro FX GRID K2/PCIe/SSE2,4.5.0 NVIDIA 352.79,1024,640,NO,Off,69,60000,0,4194
FurMark,Quadro FX GRID K2/PCIe/SSE2,4.5.0 NVIDIA 352.79,1920,1080,NO,Off,14,60000,0,844
GiMark,Quadro FX GRID K2/PCIe/SSE2,4.5.0 NVIDIA 352.79,1920,1080,NO,Off,13,60000,0,834
PixMark Piano,Quadro FX GRID K2/PCIe/SSE2,4.5.0 NVIDIA 352.79,1920,1080,NO,Off,7,60000,0,468
PixMark Volplosion,Quadro FX GRID K2/PCIe/SSE2,4.5.0 NVIDIA 352.79,1920,1080,NO,Off,14,60000,0,845
TessMark,Quadro FX GRID K2/PCIe/SSE2,4.5.0 NVIDIA 352.79,1920,1080,NO,Off,26,60000,0,1585
